ent_loss,entropy,loss
-3.43e-06,0.00343,0.00031
-7.96e-07,0.000796,6.41e-05
-6.03e-05,0.0603,0.049
-3.58e-06,0.00358,0.000343
-1.24e-06,0.00124,0.00011
-1.2e-06,0.0012,0.000104
-1.07e-06,0.00107,8.55e-05
-8.59e-07,0.000859,6.93e-05
-0.000115,0.115,0.255
-5.43e-05,0.0543,0.0263
-2.1e-06,0.0021,0.000214
-1.51e-06,0.00151,0.000132
-1.45e-06,0.00145,0.000144
-1.2e-06,0.0012,0.000101
-1.1e-06,0.0011,9.3e-05
-2.27e-05,0.0227,0.0234
-3.62e-05,0.0362,0.0456
-1.7e-05,0.017,0.00665
-3.88e-05,0.0388,0.0368
-1.21e-06,0.00121,0.000103
-2.6e-05,0.026,0.0186
-2.24e-05,0.0224,0.0345
-5.93e-07,0.000593,5.07e-05
-3.92e-05,0.0392,0.0323
-5.61e-07,0.000561,4.22e-05
-7.63e-07,0.000763,6.58e-05
-1.4e-06,0.0014,0.000117
-3.4e-05,0.034,0.0382
-8.59e-07,0.000859,6.89e-05
-2.28e-05,0.0228,0.0382
-3.94e-05,0.0394,0.0347
-2.53e-05,0.0253,0.024
-4.64e-05,0.0464,0.0519
-3.45e-05,0.0345,0.0439
-2.46e-05,0.0246,0.0248
-2.22e-06,0.00222,0.000207
-2.4e-05,0.024,0.0264
-3.1e-05,0.031,0.0131
-2.92e-06,0.00292,0.000445
-5.87e-07,0.000587,4.75e-05
-8e-07,0.0008,6.67e-05
-6.12e-07,0.000612,4.79e-05
-3.29e-05,0.0329,0.0515
-7.79e-05,0.0779,0.0596
-2.38e-05,0.0238,0.0163
-0.000111,0.111,0.0457
-3.01e-05,0.0301,0.0196
-2.53e-06,0.00253,0.000246
-4.07e-05,0.0407,0.0289
-1.28e-06,0.00128,0.000109
-2e-05,0.02,0.0108
-2.29e-06,0.00229,0.000207
-1.65e-06,0.00165,0.000143
-2.46e-05,0.0246,0.024
-5.52e-05,0.0552,0.0526
-6.91e-07,0.000691,5.51e-05
-2.49e-05,0.0249,0.0219
-9.14e-07,0.000914,7.65e-05
-1.25e-06,0.00125,0.000108
-3.49e-05,0.0349,0.0465
-6.18e-07,0.000618,5.49e-05
-9.59e-07,0.000959,8.08e-05
-1.05e-06,0.00105,9e-05
-2.04e-05,0.0204,0.0102
-1.22e-06,0.00122,0.000101
-1.69e-06,0.00169,0.000172
-2.42e-05,0.0242,0.0206
-5.15e-07,0.000515,4.28e-05
-4.48e-05,0.0448,0.0173
-2.13e-05,0.0213,0.0437
-4.08e-05,0.0408,0.0365
-5.02e-05,0.0502,0.0246
-6.59e-07,0.000659,5.63e-05
-3.7e-05,0.037,0.0444
-4.01e-05,0.0401,0.0222
-9.89e-07,0.000989,9.56e-05
-2.83e-06,0.00283,0.000269
-2.02e-06,0.00202,0.000198
-1.22e-06,0.00122,0.000114
-2.45e-05,0.0245,0.0253
-2.6e-05,0.026,0.0236
-1.21e-06,0.00121,0.000124
-6.7e-05,0.067,0.0366
-1.07e-06,0.00107,9.47e-05
-5.46e-05,0.0546,0.0534
-2.88e-05,0.0288,0.0247
-1.75e-05,0.0175,0.00315
-4.84e-05,0.0484,0.0535
-3.77e-06,0.00377,0.000407
-1.31e-06,0.00131,0.000111
-1.19e-06,0.00119,9.66e-05
-1.38e-06,0.00138,0.000128
-8.61e-07,0.000861,7.44e-05
-1.43e-06,0.00143,0.000123
-3.89e-05,0.0389,0.0368
-9.18e-07,0.000918,8.22e-05
-1.87e-05,0.0187,0.0474
-6.98e-07,0.000698,5.65e-05
-5.93e-07,0.000593,4.85e-05
-9.05e-07,0.000905,8.04e-05
-4.02e-05,0.0402,0.0223
-1.17e-06,0.00117,0.000102
-3.57e-06,0.00357,0.000324
-1.61e-05,0.0161,0.00643
-5.72e-07,0.000572,4.43e-05
-3.93e-05,0.0393,0.0319
-1.41e-06,0.00141,0.000121
-4.59e-05,0.0459,0.037
-3.35e-05,0.0335,0.0928
-2.51e-05,0.0251,0.0228
-2.35e-05,0.0235,0.0197
-6.43e-07,0.000643,5.2e-05
-3.36e-05,0.0336,0.0187
-6.14e-05,0.0614,0.0543
-1.38e-06,0.00138,0.000141
-2.04e-06,0.00204,0.000193
-3.39e-05,0.0339,0.0345
-6.44e-06,0.00644,0.000707
-2.46e-05,0.0246,0.0252
-1.99e-05,0.0199,0.00939
-1.77e-05,0.0177,0.00727
-2.32e-05,0.0232,0.0174
-9.32e-07,0.000932,7.72e-05
-1.09e-06,0.00109,0.000103
-2.71e-05,0.0271,0.0199
-9.07e-07,0.000907,7.32e-05
-4.52e-05,0.0452,0.0617
-4.57e-05,0.0457,0.0532
-2.41e-05,0.0241,0.019
-7.15e-07,0.000715,6.4e-05
-9.36e-07,0.000936,7.71e-05
-5.02e-07,0.000502,3.91e-05
-1.51e-06,0.00151,0.00013
-3.67e-05,0.0367,0.0209
-2.34e-05,0.0234,0.0207
-2.59e-05,0.0259,0.0237
-0.000118,0.118,0.0613
-3.74e-05,0.0374,0.0344
-2.8e-06,0.0028,0.000291
-1.85e-05,0.0185,0.0468
-6.65e-07,0.000665,5.57e-05
-7.46e-05,0.0746,0.0738
-2.31e-05,0.0231,0.0134
-6.01e-05,0.0601,0.0437
-2.33e-05,0.0233,0.0265
-5.81e-05,0.0581,0.0633
-2.32e-05,0.0232,0.0142
-5.75e-07,0.000575,4.62e-05
-2.41e-05,0.0241,0.0308
-1.42e-06,0.00142,0.000129
-2.17e-06,0.00217,0.000202
-1.17e-06,0.00117,0.000112
-1.5e-06,0.0015,0.000128
-3.59e-05,0.0359,0.0442
-1.04e-06,0.00104,8.66e-05
-2.3e-05,0.023,0.011
-0.000144,0.144,0.0766
-2.74e-05,0.0274,0.014
-2.56e-05,0.0256,0.0235
-1.16e-06,0.00116,9.92e-05
-4.71e-05,0.0471,0.0468
-1.31e-06,0.00131,0.000111
-2.3e-05,0.023,0.0138
-1.95e-05,0.0195,0.0443
-7.76e-05,0.0776,0.0965
-3.04e-05,0.0304,0.0131
-1.24e-06,0.00124,0.000114
-3.14e-05,0.0314,0.0134
-7.04e-07,0.000704,5.87e-05
-1e-06,0.001,8.76e-05
-2.32e-05,0.0232,0.0211
-2.33e-05,0.0233,0.0242
-9.88e-07,0.000988,8.84e-05
-7.57e-07,0.000757,6e-05
-5.38e-05,0.0538,0.0439
-7.23e-07,0.000723,5.73e-05
-5.79e-07,0.000579,4.7e-05
-5.17e-05,0.0517,0.0398
-3.5e-05,0.035,0.0235
-8.73e-07,0.000873,7.73e-05
-2.32e-05,0.0232,0.0217
-2.08e-05,0.0208,0.0374
-5.45e-05,0.0545,0.0899
-4.66e-05,0.0466,0.0452
-5.31e-05,0.0531,0.073
-9.15e-07,0.000915,7.45e-05
-1.06e-06,0.00106,9.32e-05
-3.59e-07,0.000359,2.85e-05
-7.19e-05,0.0719,0.0591
-5.66e-07,0.000566,4.28e-05
-9.43e-07,0.000943,8.16e-05
-9.22e-07,0.000922,8.55e-05
-2.54e-06,0.00254,0.000235
-3.65e-05,0.0365,0.0405
-3.25e-05,0.0325,0.0503
-1.17e-06,0.00117,9.98e-05
-7.58e-07,0.000758,6.21e-05
